Timestamp,Employee,Status,Confidence
2025-04-26 01:28:51,Operator 1,Defective,0.54
2025-04-26 01:28:53,Operator 1,Defective,0.60
2025-04-26 01:28:53,Operator 1,Defective,0.38
2025-04-26 01:28:53,Operator 1,Defective,0.73
2025-04-26 01:28:53,Operator 1,Defective,0.78
2025-04-26 01:28:53,Operator 1,Defective,0.78
2025-04-26 01:28:53,Operator 1,Defective,0.57
2025-04-26 01:28:54,Operator 1,Defective,0.46
2025-04-26 01:28:55,Operator 1,Defective,0.25
2025-04-26 01:28:56,Operator 1,Defective,0.28
2025-04-26 01:28:58,Operator 1,Defective,0.26
2025-04-26 01:28:58,Operator 1,Defective,0.26
2025-04-26 01:29:01,Operator 1,Defective,0.33
2025-04-26 01:29:01,Operator 1,Defective,0.32
2025-04-26 01:29:02,Operator 1,Defective,0.57
2025-04-26 01:29:02,Operator 1,Defective,0.58
2025-04-26 01:29:02,Operator 1,Defective,0.76
2025-04-26 01:29:03,Operator 1,Defective,0.66
2025-04-26 01:29:03,Operator 1,Defective,0.71
2025-04-26 01:29:03,Operator 1,Defective,0.60
2025-04-26 01:29:03,Operator 1,Good,0.83
2025-04-26 01:29:04,Operator 1,Defective,0.26
2025-04-26 01:29:04,Operator 1,Defective,0.30
2025-04-26 01:29:04,Operator 1,Defective,0.38
2025-04-26 01:29:04,Operator 1,Defective,0.29
2025-04-26 01:29:04,Operator 1,Defective,0.48
2025-04-26 01:29:14,Operator 1,Defective,0.36
2025-04-26 01:29:14,Operator 1,Defective,0.38
2025-04-26 01:29:14,Operator 1,Defective,0.34
2025-04-26 01:29:15,Operator 1,Defective,0.29
2025-04-26 01:29:15,Operator 1,Defective,0.37
2025-04-26 01:29:15,Operator 1,Defective,0.44
2025-04-26 10:14:55,Operator 1,Defective,0.36
2025-04-26 10:14:55,Operator 1,Defective,0.26
2025-04-26 10:14:56,Operator 1,Defective,0.31
2025-04-26 10:14:56,Operator 1,Defective,0.34
2025-04-26 10:14:56,Operator 1,Defective,0.31
2025-04-26 10:15:25,Operator 1,Defective,0.25
2025-04-26 10:15:25,Operator 1,Defective,0.32
2025-04-26 10:15:25,Operator 1,Defective,0.29
2025-04-26 10:15:26,Operator 1,Defective,0.30
2025-04-26 10:15:26,Operator 1,Defective,0.30
2025-04-26 10:15:26,Operator 1,Defective,0.30
2025-04-26 10:15:26,Operator 1,Defective,0.38
2025-04-26 10:15:26,Operator 1,Defective,0.37
2025-04-26 10:15:27,Operator 1,Defective,0.32
2025-04-26 10:15:27,Operator 1,Defective,0.39
2025-04-26 10:15:27,Operator 1,Defective,0.27
2025-04-26 10:15:27,Operator 1,Defective,0.33
2025-04-26 10:15:27,Operator 1,Defective,0.31
2025-04-26 10:15:28,Operator 1,Defective,0.28
2025-04-26 10:15:28,Operator 1,Defective,0.27
2025-04-26 10:15:29,Operator 1,Defective,0.26
2025-04-26 10:15:29,Operator 1,Defective,0.26
2025-04-26 10:15:29,Operator 1,Defective,0.28
2025-04-26 10:15:29,Operator 1,Defective,0.28
2025-04-26 10:15:30,Operator 1,Defective,0.30
2025-04-26 10:15:30,Operator 1,Defective,0.35
2025-04-26 10:15:30,Operator 1,Defective,0.35
2025-04-26 10:15:30,Operator 1,Defective,0.36
2025-04-29 08:44:34,Operator 1,wrinkle,Potentially Defective,0.66,139,220
2025-04-29 08:44:34,Operator 1,scuff,Potentially Defective,0.65,88,237
2025-04-29 08:44:34,Operator 1,rupture,Potentially Defective,0.65,298,383
2025-04-29 08:44:34,Operator 1,rupture,Potentially Defective,0.67,297,376
2025-04-29 08:44:34,Operator 1,scuff,Potentially Defective,0.63,88,236
2025-04-29 08:44:34,Operator 1,wrinkle,Potentially Defective,0.61,139,216
2025-04-29 08:44:34,Operator 1,rupture,Potentially Defective,0.75,301,373
2025-04-29 08:44:34,Operator 1,wrinkle,Potentially Defective,0.58,139,214
2025-04-29 08:44:34,Operator 1,rupture,Potentially Defective,0.57,114,345
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.65,117,365
2025-04-29 08:44:43,Operator 1,wrinkle,Potentially Defective,0.58,483,453
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.28,477,455
2025-04-29 08:44:43,Operator 1,wrinkle,Potentially Defective,0.70,482,447
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.66,117,362
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.28,476,454
2025-04-29 08:44:43,Operator 1,wrinkle,Potentially Defective,0.25,68,194
2025-04-29 08:44:43,Operator 1,wrinkle,Potentially Defective,0.76,489,456
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.63,115,416
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.42,32,20
2025-04-29 08:44:43,Operator 1,wrinkle,Good,0.80,476,451
2025-04-29 08:44:43,Operator 1,rupture,Potentially Defective,0.72,117,383
2025-04-29 08:44:44,Operator 1,wrinkle,Good,0.81,499,454
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.70,123,390
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.26,74,77
2025-04-29 08:44:44,Operator 1,wrinkle,Good,0.87,494,456
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.74,128,360
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.38,71,195
2025-04-29 08:44:44,Operator 1,wrinkle,Good,0.89,486,456
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.74,127,360
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.28,70,196
2025-04-29 08:44:44,Operator 1,wrinkle,Good,0.91,496,460
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.75,130,385
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.33,70,200
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.75,132,355
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.59,154,460
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.46,70,199
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.31,495,470
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.28,289,458
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.25,216,456
2025-04-29 08:44:44,Operator 1,rupture,Potentially Defective,0.75,130,363
2025-04-29 08:44:44,Operator 1,wrinkle,Potentially Defective,0.58,149,451
